HEADING,BODY,CATEGORY
Mamta insists on united fight,"What has been insisted by TMC leader Mamta Bannerji was moving with united stand in view of the BJP’s prevailing political position? This decisive strength can help win the ensuing parliamentary elections. Her January 19, 2019 rally was supposedly planned for the similar political cause.
She has firmly decided to stand on the standard of united we stand for defeating the BJP. Following her meeting with political big-wigs including Sonia Gandhi made her say: “Fight together, leader (Prime Minister) will be chosen later.”
Despite all the hostile criticisms by the Bhartiya Janata Party politicians, she was not frozen with her feet rooted where she firmly stood. She was utterly frank in girding up her loins for giving a befitting reply to the party in power in the approaching elections.
She wanted an invigorated political fight against the RSS-backed political party. However, she at the same time should also consider the disadvantages of the leaderless electoral battle. Will the consequences emerge the same as she visualises?
She pointed at defeating the BJP in different states where opposition stood in a strong position. Their collective fight would contain the BJP’s victory march keeping in mind its only aim of defeating the BJP at all costs.
All we can do was to stand firm on our combined purpose or else be entirely unable to overcome the saffron wave, she pointed out. If the BJP was criticising the TMC, BSP, SP, NCP, AAP and others for their collective approach, it was only to down their morale.
The BJP was taking every helpful constructive step to repeat the 2014 magic on the ground level. If its every step is vast and yet part of a larger design, there looks no obvious point in getting disheartened. The fight between the opposition allies’ persistence and the BJP’s resistance is power-enthused.",POLITICS
Why not register of politicians?,"When there continues so much hue and cry over the national register of citizenship, there should also be prepared a register of our politicians containing classified details. Instead, this should be an encyclopaedia. It can be decided by the politicians. The generations come to know of their deeds and contributions through that big book. When will this idea get momentum?
India entered into the extradition treaty with Bangladesh to bring back the ULFA separatists. The fate of forty lakh excluded from National Register of the Citizenship hangs in balance. How can they be pushed out to Bangladesh in case their citizenship proved? As regards Dharamshala, our country accepted Aryans, Huns, Portuguese, Arabs, Afghans, Jews, Dutch and English people who settled here. The recent Hungama is merely politics to contest elections in days to come. The ruling party knows very well that this issue of immigrants can bring sufficient benefit in the form of votes. The Congress party disagrees with the BJP on the issue while the Communists are sympathetic with them.
It is not only in our country but even the European countries have furthered the spurt of the Muslim population. Such kind of voice subsides with the passing of the time. The issue is not the exercise under the supervision of the apex court. Those numbers of enormous people who were supposed to have come from Bangladesh told to prove their identity. The humanitarian ground loses its vehemence in view of political perplexity. The matter, as certain politicians rightly said, was directly linked up with the Muslim inhabitants in Assam.
The political benefit could be reaped out of this issue in the state of Assam. That is being done with forceful efforts as leaders of the ruling party spare no time in expressing some words on the intricate issue.",POLITICS
"'Cow smuggling will be legalised with full tax waiver, once Congress comes to power' - RaGa steals hearts","New Delhi: Congress President and future Prime Minister of India, Rahul Gandhi has won the hearts of the non-communal Indians in a single statement. This has been proclaimed as the biggest assault on the Sangh and BJP by his coterie.
Speaking at a press meet, the winking superhero with the twinkle in his kingly eyes, Rahul Gandhi, spoke at length about politics. ‘Modi might not know the power of our people. Our people had always loved and cherished the term Pappu. Every other boy is a Pappu, but can you show me a boy named Modi? This should be realised by Modi and RSS. They are not targeting a single Pappu, that is me. They are targeting the entire Pappustan.’
‘Another burning issue that worries me for the past four years is the behaviour of gaurakshak. These mobs lynch people. People who had been labelled as cow smugglers and cow thieves.’, the Prince with Golden heart paused to look at us reporters. Two female reporters fainted with an eternal aww in their mouth and they were sent to their NDTV office once their visa was verified.
‘Let me say this clearly. Cow smuggling will be made a legal job once Congress comes to power. We will not call it cow smuggling, we will call it discreet transfer of cow ownership. Sorry, it will be called Rajiv Gandhi Gau Ownership Yojana. Under this, all the new secular cow owners need not pay tax for revenue generated by transporting them across borders. No GST too.’ There was huge round of applause and Congress workers outside the press club started burning crackers and feeding cakes to posters of Rahul.
News channels were splashed with this historic announcement and cow smugglers future secular cow owners rejoiced at this announcement. Communal Cow owners were shocked, but could not express it outside due to fear of being labelled a Hindu.
Not all cow smugglers future cow owners were happy. ‘We were earlier scared of being lynched by the communal cow owners and protectors. That fear still resides in us. We will request our next PM to provide us legal protection when we carry on with our job, which could involve terminating the cow owners along with the ownership.’
A senior lawyer-cum-activist cleared their fears saying that ‘the secular future cow owners have those rights even now and they have the backing of liberals and seculars with them if they terminate the communal cow owners if they do not comply during the transfer of ownership’.",POLITICS
Trinomoola Congress MP Derek No'Brain crowned as 'best Social Media influencer' by Forbes,"New Delhi: Everybody knows Trinomoola Congress MP Derek No’Brain. To identify him as is a no-brainer. He is the news now after appearing in Forbes’ best Social Media influencer.
While the Nazi Trinomoola party is busy butchering its opposition party cadres, like (what about Akhlaq, what about Wani) BJP, Mr. No’Brain is busy influencing their Twitter accounts online. And this has changed his path from quizmaster to a social media broker influencer.
In the Forbes’ list, Derek was at the top of the people who easily made it to influencer club. It all started when No’Brain mentioned a private citizen Rahul Taj in the Parliament. Since then, the name Rahul was recorded in the logs of the Parliament. ‘A momentary break from hysterical laughter for its readers who read through the debates of other Rahul’s in the Parliament’, an analyst commented.
Recently, No’Brain has also dragged another private citizen Prash Patel. ‘After No’Brain spelt my name in the Parliament, my Twitter account got 1 lakh followers’, claimed Mr. Patel. ‘Dude, I got some 4 lakh added. Without spending a single paisa‘, brimmed Rahul (the private citizen).
After the Patel’s incident, several other Twitter users were seen begging, pleading, trolling, spamming and even abusing No’Brain in Twitter so that their account too gets a lot of followers.
Social Media’s (ex-)biggest influencer company, WeFollow’s CEO, Anand Varma, was continuously mentioning No’Brain from the Twitter accounts bought by his clients to his company. ‘Somehow, we should get his attention. A single utterance of our client’s name in the Parliament will surpass our previous profits’, Anand sounded excited.
However, Twitter users from Bangla (aka West Bengal) were scared of mentioning No’Brain on Twitter. ‘We too will get followers when we try to mention him’, commented a student from Kolkotta, ‘we will get hundreds of followers, not in Twitter, but on our roads, following to finish me off.’",POLITICS
Mumbai man prays for single buttock in next birth to enable him to sit comfortably as fourth passenger on seat meant for three in local train,"While most people pray for wealth, health, job and relationship, Hiren Desai had something which even the Gods would be shocked to hear. The 30 year old business man from Mira Road, who is a regularly commutes by local train, asked for a single buttock in his next birth in his prayers. The reason for this unique request was to enable him to sit as the fourth passenger on a local train seat meant for three.
Speaking to Faking News Hiren said, “I have been travelling by train since last ten years. And all the seats are already taken when I enter the compartment. Leaving me with that uncomfortable fourth seat, where one of my buttock in left hanging without support. By the end of the day I am left with one sore butt. So my only prayer to the almighty is to give me just one buttock.”
Hiren’s request struck a chord with many other passengers who have been braving heavy rush in local trains for all these years. A city based cosmetic surgeon even offered to surgically remove one of Hiren’s buttock free of charge. “Why wait for the next birth. I will help this man in this life itself,” said the doctor.
After this news went viral on social media, Railways Minister Piyush Goyal assured that he’d set up a special committee to study and find out a solution to this problem. The committee will be headed by a retired IIT professor and a report is expected to to tabled in a year.
TV personality Ekta Kapoor, moved by Hiren’s plight, will produce a TV show titled Agle Janam Mohe Ek Buttock Hi Dijo, that will revolve around local train travelers. Tusshar Kapoor will play the protagonist in the series.",POLITICS
Woman who shifted from Delhi to Mumbai gains 5kgs in 5 days after not having to run due to eve teasing,"Mumbai: As compared to Mumbai and Kolkata where citizens sharply react to any incident of molestation or eve-teasing, such reactions are totally lacking or missing on the part of citizens of Delhi who have a vital role to play in preventing harassment to the women traveling in the city. A live example has come to our notice yesterday.
A woman, who had shifted from Delhi to Mumbai a few days back due to work commitments found out that she had gained 5 kgs in 5 days without even changing any dietary habits or any weather conditions.
Priyanka Ranaut, who works for an MNC shifted to Mumbai 5 days back. And in those 5 days, she never ran away due to any eve teaser harassing her, which was quite common in Delhi. But that scenario had created havoc in her personal life. Gaining 5 kgs in 5 days, she doesn’t where will it all stop.
If the same situation continues, she might gain a lot of weight which will be fatal to health. Many Gyms across the city have sent her their brochure of losing weight in a 30-day challenge or cashback offers.
The Maharashtra government is using this news to boast about the good law and order situation in Mumbai and has promised that to deal with issues which priyanka had to face, the government will subsidize Gym expenditures every month for women.",POLITICS
'Just trying to fit into Delhi culture by brandishing gun' says ex-BSP MP's son over accusation,"Putting across his side of the story, ex- BSP MPs son Ashish Pandey admitted that he did brandish a gun as seen in the video but it was done to fit into the typical Delhi culture.
While elaborating on the ‘typical Delhi culture’, he said, “It’s a Delhi thing you know. When ‘tu jaanta hai mera baap kaun hai’ doesn’t work then you whip out your gun. It’s done as a scare tactic and no to actually shoot someone.”
“I am from Lucknow and even fights over there done with tehzeeb. I would be treated like an outcast if I tried that in Delhi. So I had to carry a gun and a baseball bat in my car to just to show that I am part of Delhi’s high society,” he added.
South Delhi businessman SK Khurana, though hesitant initially, did agree that these things are common in Delhi and media shouldn’t overreact. “Why is that Arnab behaving like a rabid mongrel over this issue. If he hadn’t brandished the weapon then it would have been a national crisis,” he said.
“I remember once I had an argument with a man after he cut me in traffic. We were talking like gentlemen and sorting the issue when some bystanders got restless and asked when are we going to start fighting. They were not happy with our politeness and wanted to hear some cuss words,” he recollected.
A senior bureaucrat, while commenting in the incident said that people coming from outside should respect the culture of Delhi. “Please liberally flaunt your political connections. Invest in a gun if you can afford it, especially the high society types. Carry a baseball bat in you car to start a road rage without provocation. In fact car dealers should give baseball bats as standard accessory,” he suggested.",POLITICS
College withholds Mechanical engineer's degree for being in relationship with a girl,"Mumbai: 10 reasons to fall in love with mechanical engineers – do you know why smart girls prefer dating a mechanical engineer? Mechanical engineers are some of the best people to date with. A good sense of logic, better salary, better communication, extra technical knowledge about almost everything makes a mechanical engineer a perfect guy to date. Enough of these jokes now. Lets come straight to the news. A college in Mumbai actually witholded aMechanical Engineer’s degree as he was dating a girl which is against the traditions of the Mechanical batch.
The news started with Sanil Malik a 4th-year student of Enimity Engineering college. He was dating a girl for the last 2 years, all these in hideouts as he was too embarrassed to tell this to his fellow batchmates. Mechanical Engineers are the Bhisma Pitamah of the current generation, where even talking to a girl is against traditions, parampara as they call it. His act was caught just 2 days before his convocation and he had to speak the truth then as his roaming with the girl was caught on CCTV cameras too. The college had never allowed any student from the mechanical batch to fall in love with a girl.
And Sanil was the latest victim of the tradition-face-off. Sanil has been told to spend one full year in the college living a single life without any relationship as part of the punishment.",POLITICS
Woman who shifted from Delhi to Mumbai gains 5kgs in 5 days after not having to run due to eve teasing,"Mumbai: As compared to Mumbai and Kolkata where citizens sharply react to any incident of molestation or eve-teasing, such reactions are totally lacking or missing on the part of citizens of Delhi who have a vital role to play in preventing harassment to the women traveling in the city. A live example has come to our notice yesterday.
A woman, who had shifted from Delhi to Mumbai a few days back due to work commitments found out that she had gained 5 kgs in 5 days without even changing any dietary habits or any weather conditions.
Priyanka Ranaut, who works for an MNC shifted to Mumbai 5 days back. And in those 5 days, she never ran away due to any eve teaser harassing her, which was quite common in Delhi. But that scenario had created havoc in her personal life. Gaining 5 kgs in 5 days, she doesn’t where will it all stop.
If the same situation continues, she might gain a lot of weight which will be fatal to health. Many Gyms across the city have sent her their brochure of losing weight in a 30-day challenge or cashback offers.
The Maharashtra government is using this news to boast about the good law and order situation in Mumbai and has promised that to deal with issues which priyanka had to face, the government will subsidize Gym expenditures every month for women.",SOCIETY
College withholds Mechanical engineer's degree for being in relationship with a girl,"Mumbai: 10 reasons to fall in love with mechanical engineers – do you know why smart girls prefer dating a mechanical engineer? Mechanical engineers are some of the best people to date with. A good sense of logic, better salary, better communication, extra technical knowledge about almost everything makes a mechanical engineer a perfect guy to date. Enough of these jokes now. Lets come straight to the news. A college in Mumbai actually witholded aMechanical Engineer’s degree as he was dating a girl which is against the traditions of the Mechanical batch.
The news started with Sanil Malik a 4th-year student of Enimity Engineering college. He was dating a girl for the last 2 years, all these in hideouts as he was too embarrassed to tell this to his fellow batchmates. Mechanical Engineers are the Bhisma Pitamah of the current generation, where even talking to a girl is against traditions, parampara as they call it. His act was caught just 2 days before his convocation and he had to speak the truth then as his roaming with the girl was caught on CCTV cameras too. The college had never allowed any student from the mechanical batch to fall in love with a girl.
And Sanil was the latest victim of the tradition-face-off. Sanil has been told to spend one full year in the college living a single life without any relationship as part of the punishment.",SOCIETY
"After a month of gymming, man becomes expert in recommending the best protein supplement","His was aim to flaunt his six packs on Facebook but things seem to have turned out differently for Delhi resident Ashish Kaul.
After a month of regularly hitting the gym, Ashish has become an expert in recommending Protein supplments to anyone who wishes to listen.
It all started with his trainer giving him a crash course on supplements that every gym newbie should be aware of.
Ashish still fondly remembers his first day at Diamond Muscle Gym. “I don’t think I touched any equipment on day 1. It was all about protein shakes, BCAA, Creatine, Glutamine etc. And things weren’t any different on the rest of the days,” he said while speaking to our reporter.
“An hour of gym session would start with 15 minutes of taking selfies standing next the equipment and the rest of time was devoted to theory on supplements,” he added.
His gym buddies too are all praises for Ashish’s knowledge. Family members however were not too happy with most of the dinner conversations revolved around why egg whites are low grade protein and should be replaced by Whey.
With a goldmine of supplement info amidst them, the gym administration is now planning to hire him as their resident nutrition expert. But Ashish has different plans, with a book contract on Gym Supplements in the offing.
“That’s just tip of the iceberg. I am currently in talks for a web series with Netflix on this and will most probably have Nawazuddin Siddiqui and Radhika Apte in lead roles,” he admitted candidly.",SOCIETY
Marriage functions of Navi Mumbai couples held in Mumbai cannot be labelled as destination wedding: Supreme Court,"Mumbai: Mumbai is a city of dreams and people come here from far off places to make their dreams a reality. But then people also come from Navi Mumbai and Virar to work here. The craze for Mumbai among people in Navi Mumbai is so high that some couples hold their marriage functions in Mumbai and call it a destination wedding. This has been a trend in many of the last years.
Harneet Singh, a resident of Navi Mumbai, who recently got married to his longtime girlfriend did the same when he printed the invitation cards with ‘Destination Wedding’ written on them. This made their friends excited about the marriage. Some friends shopped for clothes, some learned to dance and many spent a lot of money to look cool at the destination wedding. But everyone left in shock when Harneet announced 2 days before his wedding that the destination of the wedding will be Mumbai. Dreams were shattered, sad faces were seen among Harneet’s friends.
One of his friends, Sanil Jain then filed a PIL against Harneet for showing them the dreams of a destination wedding and calling them to the crowded city of Mumbai. The court heard all arguments and made the final decision today. The Supreme court judge mentioned in his judgment that such invitations will be considered as a crime from next time and strict punishment will be given to the offenders.",SOCIETY
Couple gets remarried after photographer loses memory card with wedding pictures,"Mumbai: The most simplistic explanation for marriage mania has to be media infiltration. Most girls can remember watching commercials featuring smiling brides and their smitten new grooms. From youth, we’ve read stories and watched movies about the quest to find that perfect person. And that makes a marriage so very important. But more than marriages itself, it is the photos and videos which share more importance in the current society. Social media platforms have made marriage a shareworthy event rather than just a private family function. In a weird incident in Mumbai, a couple had to remarry as the photographer lost the memory card which contained their wedding pictures.
Sanil Malik had planned his wedding long before and even before that he had planned the photo shoot of his wedding. The amount spent on the photographer was 50% of the total wedding budget. He and his wife had also thought about hashtags to be used while sharing the pics on Facebook. But the planning was left shattered when on the day of the wedding, the photographer lost the memory card after all functions were covered by him. Sanil and his wife were so unhappy that people thought they were emotional as they are getting married but deep within they were upset that they don’t have any pics to share now.
The photographer though gave them an idea to remarry and told that he would give them a discount of 50% on their re-marriage. Though it was an idea which was didn’t seem practical enough, Sanil and his social media savvy wife readily agreed and the marriage function was held yesterday.",SOCIETY
"New type of sea view flats launched in Mumbai, builder will provide cab to see marine drive and come back","Mumbai: The Economic Survey has raised concern about the vacant housing inventory, especially in metros such as Mumbai, Delhi, and Bengaluru. The Survey points out that despite a housing shortage, there is an inventory overhang. Mumbai tops the list with 0.48 million vacant houses.
People are very cautious about buying the new property after the confusion raised by GST and other real estate parameters. But Shwetank Srivastava, an expert real estate player has launched a new scheme of flats in Mumbai where he will provide sea view flats to residents. But there is a twist here. The flats will not be sea view ones actually, but the builder will provide cab on a daily basis free of cost to travel to marine drive, watch the sea and come back.
Finding a sea view flat in space-crunched Mumbai is too difficult. So Shwetank had to come up with something innovative. And technically, the service provided by him would count under the sea view flat category.  Even the BMC is happy with the initiative taken by Shwetank as due to the service provided by him, more people will be willing to buy property at far off locations and visit Mumbai to have a look at the sea. This would lessen the burden on residential property in the heart of Mumbai. Also, it will provide economic opportunities to cab service providers.
The flats will obviously by premium priced and getting a sea view daily in Mumbai does come with a cost involved. More builders have started following Shwetank’s example but Shwetank will still get the first mover advantage and has started advance booking for the new range of housing property.",SOCIETY
"Candidate waits for 2 hrs for his scheduled interview, gets immediately hired to sit on the bench of IT company","Bengaluru: The joke about Indian software companies used to be that without a name board outside, you would be hard-pressed to distinguish one from the other inside. Their style of recruitment makes this case even stronger. Hiring a lot of people and using most of them to just show its bench strength. few lucky ones get projects after projects while the rest await their chance. But to get hired for the bench also requires a lot of skill, as shown by Shwetank Srivastava in Lucknow. Shwetank got hired by a software company just for the patience he showed while waiting for his interview.
Shwetank had been long waiting for his chance to get interviewed for India’s largest It company TTS. He has prepared well for his interview, had visited all forums giving tips to clear the interview process and also taking suggestions from his seniors. But none of his preparations came to use on the day of the interview.
Shwetank reached the TTS office at the scheduled time of the interview but had to wait for quite some time as the interviewer had not yet arrived. This made Shwetank a bit nervous but he stuck there as this was a lifetime opportunity. Minutes of waiting were soon getting converted to hours and by the time the interviewer arrived, Shwetank had spent almost 3 hrs waiting there.
Normally when an interview is postponed for so long, what happens is the interview gets rescheduled for some other time. But not at TTS, as patience is a key skill required to be a TTSer. And that is what the interviewer saw in Shwetank, loads and loads of patience. There are people who get impatient sitting on the bench and they do some weird stuff but the TTS HR team soon realized that Shwetank was just opposite of that. A person who can wait for 3 hrs to get hired for the bench, indeed deserves the bench much more than anyone else. And that made Shwetank’s dream of working with TTS come true, by just playing his natural game.",SOCIETY
Tinder servers crash after record no of sign-ins after Supreme Court makes Adultery a Non-Criminal offence,"New Delhi: Adultery is no longer a crime in India even though, “without a shadow of a doubt”, it can be grounds for divorce, the Supreme Court said today, scrapping a 158-year law that punished a man for an affair but not the woman, treating her as property. The Supreme court judgment was welcomed by all married Indians. Even some non-married people joined in the celebrations as they know they will be married in the future.
Ravi Shastri, Karan Johar, Emran Hashmi were the first ones to come out in support of the verdict and they will host a grand party to celebrate the decision. But the main news related to the verdict is that Tinder servers in India crashed after millions of people logged in together to find new friends. Even Mechanical and Civil Engineers who are not married or don’t have a girlfriend also started doing sign-ins.
Tinder CEO has come out in defense of the software saying ” The software was meant to fulfill particular capacity, but after the verdict, we installed 2 more servers, but the numbers were so high that our servers crashed. We are trying to resolve the issue. Till then I appeal to people to have some patience”. The government has also ordered dating sites to install powerful servers and give the customers what they want. 2019 election result may also be decided on whether dating sites are working properly or not. Such is the impact of today’s verdict.
Well, all married men and even some single men have to wait for some time hoping that the Tinder issue is resolved soon. Till then they can just thank the Supreme court for making their life easy.",SOCIETY
Even Pre-school admission will have JEE like entrance exam: Prakash Javadekar,"New Delhi: With only a few number of Pre-Schools around and most parents wanting their kids to join those schools, authorities are finding it hard to please all of them. After a lot of brain storming, the pre-school association has come up with an idea of having a JEE like entrance exam for admission
Gone are those days when entrance exams were necessary only for admissions into graduation and post grad colleges, kids now have to show their competitive spirit right from the very early days.
Our reporter caught up with Mr. Admiteshwar who is the head of pre-school association of Mumbai and he had this to say, “There is nothing to worry about. Most of the questions would be very simple and on topics which kids are aware of for e.g. GST, UP elections, English Premier league and Bollywood collections to name a few. Kids nowadays have access to almost all news and the test will give an unbiased platform to all kids to show their knowledge.”
Coaching centers have come up across the city for helping parents prepare their kids for the entrance exam. In fact the no of coaching centers have surpassed the no of pre-schools in the city. Even the coaching center association is planning an entrance exam to admit kids into their facilities.
If that was not enough counselling centers have opened up for kids who will fail to clear the coaching center entrance exam. Kids are definitely lucky to have such caring surroundings.
Even the parents seem happy. Some of the responses collected by our reporter include “Kids have to be competitive right from the beginning”, “At our age we dint have such coaching facilities, our kids are privileged and they should understand it”, “I would even suggest that they have a quota system in the exam, so that kids are better prepared for the future.”
Well, only time will tell if the exams are successful or not, at least there is a hope of creating a fair and transparent process in the education system",SOCIETY
"Candidate asks SBI telephonic interviewer to postpone interview as he was having lunch, gets immediately hired","Mumbai: SBI employees are the most punctual of all in India. They never miss out on the lunch time and sometimes the lunch times are spread throughout the day as they feel that lunch is what keeps them active and motivated for the whole day of work. SBI employees are seldom seen turning away customers saying that its lunchtime and they should visit after some time. And they look for the same skill in their future employees also.
Sanil Jain who had always been preparing for a bank job finally got an interview call from SBI HR team. He had the required qualifications but still was not so sure about clearing the interview. So he made an excuse that he is having lunch and the HR manager should call sometime later. It was a joyous moment for the HR manager, he had found the exact candidate he was looking for. He gave him a spot offer and asked Sanil to join immediately. He was sent an offer letter in the next 5 minutes and was given 50% more salary than the one mentioned in the job ad.
Sanil actually failed to turn up for a job on the next day when it was his joining day as he had already got late and thought of finishing lunch and then go to the office. He again got a call from the HR team saying that he has been selected as the employee of the month on the first day of his joining itself.  There are some rumors that SBI employees are asking for increased lunch timings in the 8th pay commision. Employees are saying that an increase in salary is not a concern, but lunch timings should surely be increased.",SOCIETY
Boy and girl busy looking at their phone didn’t realize they were on date with wrong person,"Bengaluru: Mukesh did not realize he spent three hours with a girl whom he does not know, has never met before. Ditto was the case for the ‘unknown’ girl as both of them super busy with their phones never got time to have a glance at each other.
This is what happened through the day and evening. Mukesh, taking a break from Google search at office, booked a table for candlelight dinner at the 13th floor restaurant in MG road. It was for the date with his girlfriend Sandhya who has recently shifted to Bengaluru from Hyderabad.
“As soon as I entered the place felt it was over crowded for a week day, may be many had booked like me due to the discounts they offer on week days. The restaurant manager escorted me to a table where my unknown ‘girlfriend’ was waiting”, Mukesh told his roommate after reaching his room.
Mukesh added, “While fully engrossed in our phones, we said hi to each other while our cheeks touched each other’s. She ordered something, I ordered something, shared ½ soup. Food was tasty. Wi-Fi network of the place was awesome, probably that kept us fully busy through the evening.”
“I didn’t realize about the wrong date till Sandhya texted me,” said Mukesh to his roommate.
“Sorry Mukesh, my android phone battery ran out when I was inside a cab. Yahan Itna traffic hota hai mujhe pata nahin tha. Now only I reached my PG in Whitefield. If I start now, we can have morning breakfast only. Sorry for spoiling today’s plan, will meet you over the weekend. Luv u … Sandhya”.
Mukesh’s roommate after hearing all these was upset Sandhya did not turn up at the restaurant.
“Aaj toh ‘The End’ hota Mukesh aur Sandhya ka. Mera last profile picture ko Sandhya ne like bhi kiya hai. Who knows, mera kuch chance bhi ban sakta tha. Iss Whitefield traffic ne sab spoil kar diya”, Mukesh’s roommate was thinking.",SOCIETY
Person accused of rash driving after drinking in Mumbai says he was just avoiding the potholes,"People in Mumbai are fed up with the pothole situation. But here is a guy who used the pothole situation to his benefit. We are talking about Shwetank Srivastava. He was caught by the traffic police for rash driving after drinking. But Shwetank claimed that he was just avoiding the potholes and that’s why it seemed as if he was rash driving.
The surprising fact is that the Mumbai Police believed his story and let him go. He, in fact, gave a full description of the depth and length of the potholes he was trying to avoid while driving.
Mumbai Police has also requested the BMC  to fill all potholes immediately as people like Shwetank and many more are using it as an excuse to drive roughly.
Shwetank while talking to Faking News said,” I may look drunk, but I am in total control. I have driven my car so many times after drinking a bit, that I have become habituated now. But yesterday, I was actually avoiding potholes and the fact that I was doing so at high speed, police thought that I was driving roughly. ACtually, the police have caught me so many times so they were sure that I would have been drunk but yesterday was the only time when I was not drunk and I am honest here.",SOCIETY
Couple files for divorce following an altercation on what is better: Misal Pav or Rajma Chawal,"Delhi: A disgruntled couple ended 7 years of their relationship and filed for divorce after they could not come down to a common consensus on what is better: Rajma Chawal or Misal Pav.
Ankita Arora and Rohan Deshmukh fell for each other while they were together in a college in Pune and got married just a year after they started dating. Their relationship was sailing smoothly until last Sunday when they had a serious altercation, which climaxed to the point of filing for a divorce.
Being from different states in India, Ankita and Vishal had different food preferences and that never became the reason for an argument until recently when Ankita saw Vishal up-voting Misal Pav as the best food in a poll on Facebook that included Rajma Chawal as an option as well. After trying everything to convince Vishal, Ankita cooked a plateful of delicious Rajma Chawal for him but to no avail as later in the evening Vishal ordered Misal Pav when the two of them were out for a dinner date.
The couple approached a marriage counselor who also failed to reach to any conclusion as to which dish was better and suggested the couple to have Misal Pav in breakfast and Rajma Chawal for lunch. Currently, Ankita has granted seven days to Rohan for changing his mind failing which she’ll be processing the divorce case as per their tacit agreement.
Ankita and Rohan’s case may seem like an isolated one, but data says that an increasing number of couples are getting separated due to different food preferences. Another couple from Chandigarh has filed for a divorce due to one of them not being tea addict. Such cases raise an important question “Are we eating to stay alive or are we staying alive to eat?”",SOCIETY
"Bride in U.P sees groom chewing gutkha during rituals, cancels marriage, says he din't share gutkha with her","A girl refused to marry a man for chewing gutkha in Murarpatti village in Uttar Pradesh’s Ballia district, leaving the groom surprised and her relatives shocked over the weekend. The incident has raised hopes for women empowerment in U.P, but the reason of the refusal is more shocking. Faking News has found that the girl cancelled the marriage as his husband-to-be dint share gutkha with her.
Use of gutkha is prevalent across the country with U.P being a major market. In fact the first decision which the new government in U.P took after coming to power was to ban gutkha and pan masala in government premises, but banning it in remote villages still remains a distant reality. Murapatti village is not an exception with most men chewing gutkha since childhood.
Shwetank Singh, whose marriage was fixed some 1 month back thought his bride-to-be would be knowing about this gutkha-eating habit and so he dint make efforts to tell her about it. But he was caught while the rituals were going on. The girl saw Shwetank chewing gutkha and asked the panditji to stop the rituals right away. She even started walking out of the marriage venue leaving oarents from both sides shocked. It was only later that her parents found about the reason for this shocking decision. Apparently, Shwetank’s wife-to-be is also a gutkha lover and she found it embarrassing that her husband dint share it with her.
Our Faking News reporter spoke to the girl today and she had this to say, ” marriage is based on sharing things, be it happiness, sorrows or small pleasures of life and gutkha is an important part. My problem is not that my husband chews gutkha, but how can he chew it without even offering me some of it. I will only marry a person who knows the art of eating gutkha together with his wife.”
We are trying to reach government officials for comments on this incident, but they are busy chewing gutkha and cant speak now.",SOCIETY
Delhi guy involved in road rage get wildcard entry to Boxing event at Asian games,"In yet another boost to India’s chances of getting gold at the Asian Games, Delhi guy Rakesh Singh will be a surprise participant at the Boxing event this year.
Rakesh was involved in road rage at Chandni Chowk after his car brushed an SUV a busy intersection. Though the guys in the SUV were twice his size, Rakesh managed to throw some deft punches which caught them by surprise. As usual,  eyewitnesses not only enjoyed the road rage but some took videos and shared in on social media.
The video got a million hits on social media. Sports Minister Rajavardhan Rathore, who is pretty active on social media, couldn’t help but comment on how impressed he was with the video. “I am a sportsman and I can spot budding talent at the snap of a finger. That guy has some serious talent,” he tweeted.
Speaking on sending ‘Rocky’ for the Asian Games, Mr. Rathore said, “One of our boxer has caught a stomach bug and most probably wont be participating in a scheduled event. I have spoken to the authorities at the games and they are open to last minute entries. If he can just repeat his road rage performance, I can say we have another gold in our tally.”
The news led to many young men from Delhi sharing their ‘rage videos’ on social media. Some even calling for a talent hunt on the lines of Indian Idol for those who take road rage seriously.",SOCIETY
Girl patches up with boyfriend after noticing that he's not sad with the breakup,"Pune: In a surprising incident a girl patched up with her ex-boyfriend within hours of breakup only because the boyfriend showed no signs of heartache. 
Tanuja, a software engineer in Pune based MNC had been seeing the startup-management guy Vivek, since past seven months. Both were having a gala time until Vivek got so engrossed in his work that he failed to provide enough of his time to Tanuja. When even after multiple bluff-breakup threats, constant cribbing and sarcastic taunts flopped at getting Vivek’s attention, Tanuja finally decided to call it off.
Things, however, did not go as planned and in fact, went in a totally opposite direction of what Tanuja had expected. Vivek did not feel guilty about not being able to commit time and attention to Tanuja and if truth be told, turned more focused towards his work after the breakup. Tanuja was even more disturbed when she realized that breakup isn’t making Vivek sad, so she decided to make things miserable for him again and patched up with him.
Faking News reporter spoke to Tanuja’s flatmate Neha, with whom Tanuja usually shares all her secrets. Neha provided us an insight into a woman’s mind saying “Look the thumb rule is if your boyfriend is not happy the relationship is good, if he’s happy even when you are nagging then he’s probably seeing someone else too. So it is essential that you must make sure that he’s suffering at all times. He should also feel guilty and apologetic even when the mistake is yours. And after a breakup, he should be the one calling you up, begging for forgiveness. Just because of Tanuja’s bad timing, things didn’t roll out as anticipated. I have suggested her to get back with Vivek and dump him when there’s lesser workload on him. This way he will learn a lesson for life!”
Tanuja and Vivek’s story has a lot to tell. These days people see each other not only out of love or attraction but also try to micro-manage each other. Tanuja’s is exactly trying to do the same with Vivek. Sooner or later we all learn that relationships cannot be remote-controlled like a television set.
However, the millennials don’t get it and most people learn only after getting their first heartbreak. Technology is to be blamed.",SOCIETY
