HEADING,BODY,CATEGORY
aap|evolv|cast|polit,like|congress|parti|bjp|new|polit|parti|aap|also|wholli|detach|advanc|cast|factor|elector|polit|cannot|told|aap|stress|keep|touch|tradit|cast|factor|parti|polit|former|aap|leader|ashutosh|accus|parti|tri|invok|cast|sentiment|us|surnam|2014|elect|afterward|anoth|promin|leader|atishi|marlena|dropp|except|surnam|sound|like|christian|name|marlena|last|name|atishi|said|titl|mingl|marx|lenin|emphasis|dropp|given|name|kind|higher|object|come|punjabi|rajput|famili|becam|parti|first|candid|2019|parliamentari|poll|although|actual|surnam|end|singh|yet|refrain|us|last|name|simpli|put|damper|cast|base|polit|christian|sound|surnam|marlena|avers|cast|base|polit|sett|made|clear|initiat|parti|pressur|decis|want|show|cast|free|face|deni|influenc|cast|angl|parti|aap|gener|secretari|akshai|marath|state|discours|around|healthcar|educ|ident|cast|religion|take|point|even|aimim|chief|assad|ud|din|owaisi|said|realiti|indian|polit|on|could|muslim|christian|sound|name|get|elect|natur|took|time|studi|cast|factor|polit|effect|clever|polit|design|mind|definit|hang|around|polit|fix|firmli|cast|connect,POLITICS
rahul|gandhi|nominat|nobel|econom|cours|peac,welcom|latest|insipid|err|inspir|speech|rahul|gandhi|land|hitler|ill|effect|unemploy|martya|sen|nobel|winner|econom|want|nobel|econom|rahul|gandhi|refreshingli|new|idea|mr|sen|exclaim|flail|hand|air|excit|link|lack|employment|becom|terrorist|perhap|import|observ|made|philosoph|thinker|politician|last|centuri|word|rahul|ji|identifi|root|caus|devastat|problem|world|terror|rahul|ji|explain|caus|simpl|despit|problem|complex|said|smile|face|famou|panch|sheel|theori|propos|pandit|ji|indian|could|come|lucid|theori|address|problem|work|world|though|indira|gandhi|garibi|hatao|good|slogan|lack|depth|understand|could|qualifi|becom|philosophi|add|on|report|want|explain|lengthi|statement|indira|gandhi|martya|laugh|advis|listen|caption|loop|100|time|cryptic|statement|intellig|like|rahul|ji|comprehend|first|instanc|explain|advic|statement|consid|world|everybodi|job|everyon|busi|job|on|recruit|terrorist|would|difficult|recruit|even|ordinari|stone|pelter|solut|rahul|ji|propos|would|solv|unemploy|terror|biggest|two|problem|world|deserv|two|nobel|on|econom|on|establish|world|peac|conclud|second|nomin|martya|sen|bakra|baghdadi|inspir|leader|isi|concurr|rahul|explan|unemploy|creat|isi|back|dai|job|arab|countri|done|american|expat|indian|worker|leav|nativ|popul|noth|fight|us|even|isi|came|exist|saddam|qaddafi|provid|employment|nativ|arab|recruit|armi|suddenli|amreecan|came|job|market|vanish|desert|storm|osama|take|upon|provid|employment|peopl|later|took|expand|job|market|baghdadi|explain|beam|pride|continu|worker|skill|migrat|entir|europ|on|major|workforc|germani|franc|contact|email|germani|chancellor|merkel|agre|bakra|baghdadi|accept|migrant|middl|east|fuse|europ|sharp|point|wai|otherwis|life|dull|summaris|view|place|barkha|dutt|add|experi|misguid|children|kashmir|particularli|son|school|master|turn|terrorist|wai|rahul|gandhi|could|express|opinion|effervesc|could|sens|confid|increas|narendra|modi|get|two|nobel|elect|chanc|mahagathbandhan|form|govern|2019|increas|manifold|opin,POLITICS
rahul|gandhi|accus|bjp|practic|black|magic,agitat|humiliat|bjp|top|brass|time|rahul|gandhi|entertain|presid|congress|accus|bjp|strongest|languag|main|target|amit|shah|recent|speech|microphon|malfunct|deepli|speech|rahul|shout|voic|could|heard|backbench|strain|alreadi|strain|voic|fit|furi|declar|microphon|switch|amit|shah|amit|shah|digest|convei|thought|happi|sadist|want|project|pappu|rahul|gandhi|vent|frustrat|ask|close|eye|like|said|rahul|gandhi|sipp|peg|corex|continu|voic|sound|almost|like|iron|sheet|scratch|nail|know|went|famou|doon|school|know|went|cambridg|univers|know|travel|length|breadth|world|thailand|bahama|know|mani|blunder|make|public|life|push|long|sleev|expos|hairi|arm|forc|red|streak|otherwis|daze|eye|took|deep|breath|ye|committ|mani|blunder|talk|nonsens|time|cambridg|educat|gui|commit|gaff|possibl|despit|chaiwala|even|narendra|modi|commit|mani|silli|mistak|make|mani|mistak|question|audienc|meanwhil|electrician|wear|orang|scarf|walk|took|mic|switch|mutter|maybe|alwai|high|mic|start|function|rahul|gandhi|sigh|loudli|nois|wrapp|entir|meet|hall|everyon|present|felt|rahul|gandhi|next|rahul|continu|see|even|switch|mic|blame|amit|shah|even|electrician|think|alwai|high|gaff|regular|basi|come|becam|natur|commit|mistak|talk|nonsens|son|former|prime|minist|son|former|prime|minist|daughter|former|prime|minist|theori|genet|wrong|last|month|worri|continu|degrad|public|life|momma|contact|sorceress|milan|beauti|citi|itali|particular|sorceress|consid|live|time|galileo|know|said|opposit|parti|us|black|magic|target|start|even|enter|polit|even|bjp|form|first|ever|govern|scheme|rule|india|forev|stop|on|stop|bjp|worri|intellig|oratori|manag|skill|fear|mai|rule|forev|ideologu|plann|want|countri|corrupt|free|develop|like|china|inhuman|like|chines|execut|corrupt|offici|develop|come|cost|live|corrupt|offic|politician|cannot|happen|never|allow|happen|someon|bjp|start|us|black|magic|target|mental|prowess|slowli|intellig|start|reduc|becam|agitat|start|speak|without|think|consequ|talk|momma|ask|sorceress|guest|counter|black|magic|becom|normal|gui|audienc|listen|attent|watch|ramsai|film|could|visualis|girl|go|shower|bath|red|colour|water|sens|attent|rahul|declar|ala|sorceress|could|come|india|deni|visa|bjp|govern|tell|harm|four|hundr|year|old|ladi|could|countri|come|help|rehabilit|bjp|leadership|take|chanc|prevent|visit|india|visit|get|rid|ill|effect|black|magic|whenev|feel|comfort|go|place|visit|anoth|client|travel|thailand|mauritiu|hawaii|even|visit|ridicul|bjp|call|pleasur|visit|etern|bachelor|engag|pleasur|seek|activ|final|spoke|mind|took|heavi|burden|spoke|truth|let|bjp|deni|engag|witchcraft|never|tell|see|eye|smell|breath|stand|touch|shiver|hug|fear|even|wink|suddenli|shudder|open|eye|sonia|gandhi|shake|said|stop|give|speech|dream|get|get|readi|need|visit|two|templ|on|mosqu|todai,POLITICS
try|snake|charm|buffalo,bhain|ke|aag|bajana|prove|correct|dewa|domest|anim|turn|violent|perhap|biblic|phrase|kind|instruct|peopl|jesu|christ|mean|usual|taken|useless|effort|neglig|congress|parti|functionari|along|anguish|commut|want|portrai|protest|site|discomfitur|know|properli|deal|buffalo|come|poignant|scene|could|realis|anim|aggress|behaviour|sudden|naiv|plai|flute|face|anim|complet|concentr|congress|functionari|start|try|snake|charm|buffalo|enrag|buffalo|hit|hard|amid|cacophoni|protestor|ran|helter|skelter|buffalo|furi|similar|spanish|bull|race|plann|spoil|brutal|behaviour|buffalo|fail|read|exactli|cattl|huge|mind|agit|start|runn|safe|shelter|might|think|precoci|mind|buffalo|staunch|follow|bjp|excess|concern|peer|cow|congressmen|thought|action|draw|madhya|pradesh|govern|attent|toward|delai|earli|approv|inter|citi|bu|servic|indor|dewa|mp|howev|garland|plai|flute|secur|ampl|approv|particular|cattl|moment|knock|politician|point|horn|utter|chao|commot|protest|site|injuri|treat|first|aid|facil|immedi|soulfulli|thank|almighti|none|among|serious|hurt|began|polit|motiv|end|sad|note,POLITICS
bloodbath|civil|war,west|bengal|cm|mamata|bannerje|warn|immin|bloodbath|civil|war|bjp|leader|disappoint|appar|issu|threat|follow|mp|amit|shah|said|seen|bloodbath|india|sinc|mahabharata|hope|real|action|uidai|issu|immedi|clarif|fight|want|reveal|aadhaar|card|noth|us|done|card|trai|chairman|rs|sharma|said|elit|fool|like|right|releas|aadhaar|number|make|ass|fit|wage|civil|war|armchair|rahul|gandhi|gloat|wear|white|hugg|pm|bloodbath|pm|modi|sai|visit|94|nation|far|except|assam|soon|war|piyush|goyal|said|need|bring|civil|war|gst|49|see|dumber|thing|arun|jaitlei|new|pakistani|pm|imran|khan|assert|civil|war|pakistani|proprietori|right|hindu|busi|steal|idea,POLITICS
didi|confus|bisibela|bath|blood|bath,sett|work|hard|pour|variou|colour|old|white|sare|didi|stood|quiet|look|violent|mix|ghastli|colour|white|piec|cloth|look|us|clean|butcher|shop|us|clean|tabl|mishti|hous|peac|wonder|congratulat|paint|thing|beyond|imagin|ordinari|mortal|walk|cot|made|bamboo|jute|match|simpl|lifestyl|rest|switch|old|onida|black|white|televis|panason|vcr|watch|favourit|record|group|follow|clad|simpl|dhoti|count|cash|loot|sadhana|scam|bliss|smile|cross|lip|video|stress|buster|within|minut|watch|relax|sleep|sound|twist|three|minut|howev|video|got|blurr|b|w|tv|screen|full|colour|didi|thought|someth|wrong|tv|want|tap|top|becom|normal|get|voic|tv|sprang|vertic|bar|colour|transform|colour|concentr|circl|zoom|simultan|even|freshen|said|rememb|noth|interview|see|immobil|condit|byomkesh|bakshi|pull|curtain|reveal|came|straight|dangl|gold|locket|ti|silver|thread|front|centr|bangl|two|emerald|shape|form|leav|fix|crescent|didi|tranc|like|decid|subconsci|make|tmc|symbol|eye|roll|along|locket|swing|like|pendulum|byomkesh|suddenli|rememb|minni|mous|swung|eye|like|micki|didi|like|design|locket|decid|leav|locket|mission|voic|amrish|puri|romant|mood|byomkesh|ask|didi|want|locket|didi|ye|bb|didi|make|tmc|symbol|bb|clarifi|doubt|didi|ask|let|warn|answer|question|give|locket|bath|blood|byomkesh|genuin|fear|pull|togeth|ask|first|question|bb|threaten|union|govern|impend|civil|war|blood|bath|didi|civil|war|like|blood|bath|bb|didi|peac|ladi|think|bath|blood|didi|said|bath|blood|want|eat|blood|bath|tasti|byomkesh|bakshi|shock|eat|blood|bath|must|gone|nut|thought|decid|continu|interview|mai|locket|hand|locket|reveal|suddenli|sound|slipper|flipp|granit|someon|come|byomkesh|hid|behind|curtain|old|ladi|came|trai|set|supper|didi|see|food|front|sparkl|eye|didi|yyaah|blood|bath|cri|loudli|put|locket|asid|start|eat|old|ladi|look|didi|piti|left|byomkesh|slowli|left|room|follow|old|ladi|heard|footstep|turn|face|introduc|secret|doctor|ask|given|didi|eat|gave|weird|look|said|bisibela|bath|part|kannada|cuisin|blurt|call|blood|bath|old|ladi|heav|sigh|said|happen|ever|sinc|return|bengaluru|attend|swear|ceremoni|kumaraswami|dinner|bisibela|bath|serv|didi|like|much|want|ask|name|pappu|ask|kumaraswami|item|alreadi|angri|wai|forc|drink|poison|kumaraswami|said|blood|bath|special|karnataka|didi|took|serious|like|tast|bisibela|bath|much|eat|breakfast|lunch|supper|ever|sinc|even|touch|fish|last|two|three|month|becam|pure|vegetarian|forc|eat|bisibela|bath|thrice|dai|look|sad|mean|didi|referr|bisibela|bath|threaten|central|govern|blood|bath|probe|point|english|bit|poor|old|ladi|continu|fact|support|nrc|meant|uncivilis|peopl|fight|street|would|go|awai|fight|street|would|civilis|on|mean|debat|argument|physical|fight|everyon|would|eat|vegetarian|bisibela|bath|live|happili|forev|sarcast|smile|pass|lip|old|ladi|coupl|poor|english|feroci|facial|express|communicat|someth|entir|opposit|want|sai|omg|byomkesh|stunn|explan|omg|omg|repeat|old|ladi|slapp|pull|shock|noth|god|on|control|languag|bodi|languag|well|byomkesh|nodd|agreement|would|like|bisibela|bath|invit|supper|ye|mam|sure|would|like|tast|item|transform|didi|interview|detect|byomkesh|bakshi|erstwhil|famou|detect|bengal|oop|bangla|complet|onlin|cours|hypnotic|interrog|yet|start|jio|univers|access|onlin|certif|cours|rang|ball|tamper|swindl|bank|part|free|packag|recharg|500|jio|sim|card,POLITICS
mamta|insist|unit|fight,insist|tmc|leader|mamta|bannerji|move|unit|stand|view|bjp|prevail|polit|posit|decis|strength|help|win|ensu|parliamentari|elect|januari|19|2019|ralli|supposedli|plann|similar|polit|caus|firmli|decid|stand|standard|unit|stand|defeat|bjp|follow|meet|polit|big|wig|includ|sonia|gandhi|made|sai|fight|togeth|leader|prime|minist|chosen|later|despit|hostil|critic|bhartiya|janata|parti|politician|frozen|feet|root|firmli|stood|utterli|frank|gird|loin|give|befitt|repli|parti|power|approach|elect|want|invigorat|polit|fight|rss|back|polit|parti|howev|time|also|consid|disadvantag|leaderless|elector|battl|consequ|emerg|visualis|point|defeat|bjp|differ|state|opposit|stood|strong|posit|collect|fight|would|contain|bjp|victori|march|keep|mind|aim|defeat|bjp|cost|stand|firm|combin|purpos|els|entir|unabl|overcom|saffron|wave|point|bjp|criticis|tmc|bsp|sp|ncp|aap|other|collect|approach|moral|bjp|take|everi|help|construct|step|repeat|2014|magic|ground|level|everi|step|vast|yet|part|larger|design|look|obviou|point|gett|dishearten|fight|opposit|alli|persist|bjp|resist|power|enthus,POLITICS
regist|politician,continu|much|hue|cry|nation|regist|citizenship|also|prepar|regist|politician|contain|classifi|detail|instead|encyclopaedia|decid|politician|gener|come|know|deed|contribut|big|book|idea|get|momentum|india|enter|extradit|treati|bangladesh|bring|back|ulfa|separatist|fate|forti|lakh|exclud|nation|regist|citizenship|hang|balanc|push|bangladesh|case|citizenship|prove|regard|dharamshala|countri|accept|aryan|hun|portugues|arab|afghan|jew|dutch|english|peopl|settl|recent|hungama|mere|polit|contest|elect|dai|come|rule|parti|know|well|issu|immigr|bring|suffici|benefit|form|vote|congress|parti|disagre|bjp|issu|communist|sympathetic|countri|even|european|countri|further|spurt|muslim|popul|kind|voic|subsid|pass|time|issu|exercis|supervis|apex|court|number|enorm|peopl|suppos|come|bangladesh|told|prove|ident|humanitarian|ground|lose|vehem|view|polit|perplex|matter|certain|politician|rightli|said|directli|link|muslim|inhabit|assam|polit|benefit|could|reap|issu|state|assam|done|forc|effort|leader|rule|parti|spare|time|express|word|intric|issu,POLITICS
cow|smuggl|legalis|full|tax|waiver|congress|come|power|raga|steal|heart,new|delhi|congress|presid|futur|prime|minist|india|rahul|gandhi|heart|non|commun|indian|singl|statement|proclaim|biggest|assault|sangh|bjp|coteri|speak|press|meet|wink|superhero|twinkl|kingli|eye|rahul|gandhi|spoke|length|polit|modi|might|know|power|peopl|peopl|alwai|love|cherish|term|pappu|everi|boi|pappu|show|boi|name|modi|realis|modi|rss|target|singl|pappu|target|entir|pappustan|anoth|burn|issu|worri|past|four|year|behaviour|gaurakshak|mob|lynch|peopl|peopl|label|cow|smuggler|cow|thiev|princ|golden|heart|paus|look|us|report|two|femal|report|faint|etern|aww|mouth|sent|ndtv|offic|visa|verifi|let|sai|clearli|cow|smuggl|made|legal|job|congress|come|power|call|cow|smuggl|call|discreet|transfer|cow|ownership|sorri|call|rajiv|gandhi|gau|ownership|yojana|new|secular|cow|owner|need|pai|tax|revenu|generat|transport|across|border|gst|huge|round|applaus|congress|worker|outsid|press|club|start|burn|cracker|feed|cake|poster|rahul|new|channel|splash|histor|announc|cow|smuggler|futur|secular|cow|owner|rejoic|announc|commun|cow|owner|shock|could|express|outsid|due|fear|label|hindu|cow|smuggler|futur|cow|owner|happi|earlier|scare|lynch|commun|cow|owner|protector|fear|still|resid|us|request|next|pm|provid|us|legal|protect|carri|job|could|involv|terminat|cow|owner|along|ownership|senior|lawyer|cum|activist|clear|fear|sai|secular|futur|cow|owner|right|even|back|liber|secular|termin|commun|cow|owner|compli|transfer|ownership,POLITICS
trinomoola|congress|mp|derek|nobrain|crown|best|social|media|influenc|forb,new|delhi|everybodi|know|trinomoola|congress|mp|derek|brain|identifi|brainer|new|appear|forb|best|social|media|influenc|nazi|trinomoola|parti|busi|butcher|opposit|parti|cadr|like|akhlaq|wani|bjp|mr|brain|busi|influenc|twitter|account|onlin|chang|path|quizmast|social|media|broker|influenc|forb|list|derek|top|peopl|easili|made|influenc|club|start|brain|mention|privat|citizen|rahul|taj|parliament|sinc|name|rahul|record|log|parliament|momentari|break|hysterical|laughter|reader|read|debat|rahul|parliament|analyst|comment|recent|brain|also|dragg|anoth|privat|citizen|prash|patel|brain|spelt|name|parliament|twitter|account|got|1|lakh|follow|claim|mr|patel|dude|got|4|lakh|add|without|spend|singl|paisa|brimm|rahul|privat|citizen|patel|incid|sever|twitter|user|seen|begg|plead|troll|spamm|even|abus|brain|twitter|account|get|lot|follow|social|media|ex|biggest|influenc|compani|wefollow|ceo|anand|varma|continu|mention|brain|twitter|account|bought|client|compani|somehow|get|attent|singl|utter|client|name|parliament|surpass|previou|profit|anand|sound|excit|howev|twitter|user|bangla|aka|west|bengal|scare|mention|brain|twitter|get|follow|try|mention|comment|student|kolkotta|get|hundr|follow|twitter|road|follow|finish,POLITICS
mumbai|man|prai|singl|buttock|next|birth|enabl|sit|comfort|fourth|passeng|seat|meant|three|local|train,peopl|prai|wealth|health|job|relationship|hiren|desai|someth|even|god|would|shock|hear|30|year|old|busi|man|mira|road|regularli|commut|local|train|ask|singl|buttock|next|birth|prayer|reason|uniqu|request|enabl|sit|fourth|passeng|local|train|seat|meant|three|speak|fake|new|hiren|said|travel|train|sinc|last|ten|year|seat|alreadi|taken|enter|compart|leav|uncomfort|fourth|seat|on|buttock|left|hang|without|support|end|dai|left|on|sore|butt|prayer|almighti|give|on|buttock|hiren|request|struck|chord|mani|passeng|brave|heavi|rush|local|train|year|citi|base|cosmet|surgeon|even|offer|surgic|remov|on|hiren|buttock|free|charg|wait|next|birth|help|man|life|said|doctor|new|went|viral|social|media|railwai|minist|piyush|goyal|assur|set|special|committe|studi|find|solut|problem|committe|head|retir|iit|professor|report|expect|tabl|year|tv|person|ekta|kapoor|move|hiren|plight|produc|tv|show|titl|agl|janam|mohe|ek|buttock|hi|dijo|revolv|around|local|train|travel|tusshar|kapoor|plai|protagonist|seri,POLITICS
woman|shift|delhi|mumbai|gain|5kg|5|dai|run|due|ev|teas,mumbai|compar|mumbai|kolkata|citizen|sharpli|react|incid|molest|ev|teas|reaction|total|lack|miss|part|citizen|delhi|vital|role|plai|prevent|harass|women|travel|citi|live|exampl|come|notic|yesterdai|woman|shift|delhi|mumbai|dai|back|due|work|commit|found|gain|5|kg|5|dai|without|even|chang|dietari|habit|weather|condit|priyanka|ranaut|work|mnc|shift|mumbai|5|dai|back|5|dai|never|ran|awai|due|ev|teaser|harass|quit|common|delhi|scenario|creat|havoc|person|life|gain|5|kg|5|dai|stop|situat|continu|might|gain|lot|weight|fatal|health|mani|gym|across|citi|sent|brochur|lose|weight|30|dai|challeng|cashback|offer|maharashtra|govern|us|new|boast|good|law|order|situat|mumbai|promis|deal|issu|priyanka|face|govern|subsid|gym|expenditur|everi|month|women,POLITICS
try|fit|delhi|cultur|brandish|gun|sai|ex|bsp|mp|son|accus,putt|across|side|stori|ex|bsp|mp|son|ashish|pandei|admitt|brandish|gun|seen|video|done|fit|typical|delhi|cultur|elaborat|typical|delhi|cultur|said|delhi|thing|know|tu|jaanta|hai|mera|baap|kaun|hai|work|whip|gun|done|scare|tactic|actual|shoot|someon|lucknow|even|fight|done|tehzeeb|would|treat|like|outcast|tri|delhi|carri|gun|basebal|bat|car|show|part|delhi|high|societi|add|south|delhi|businessman|sk|khurana|though|hesit|initi|agre|thing|common|delhi|media|overreact|arnab|behav|like|rabid|mongrel|issu|brandish|weapon|would|nation|crisi|said|rememb|argument|man|cut|traffic|talk|like|gentlemen|sort|issu|bystander|got|restless|ask|go|start|fight|happi|polit|want|hear|cuss|word|recollect|senior|bureaucrat|comment|incid|said|peopl|come|outsid|respect|cultur|delhi|pleas|liber|flaunt|polit|connect|invest|gun|afford|especi|high|societi|type|carri|basebal|bat|car|start|road|rage|without|provoc|fact|car|dealer|give|basebal|bat|standard|accessori|suggest,POLITICS
colleg|withhold|mechan|engin|degre|relationship|girl,mumbai|10|reason|fall|love|mechan|engin|know|smart|girl|prefer|date|mechan|engin|mechan|engin|best|peopl|date|good|sens|logic|better|salari|better|commun|extra|technic|knowledg|almost|everyth|make|mechan|engin|perfect|gui|date|enough|joke|let|come|straight|new|colleg|mumbai|actual|withold|amechan|engin|degre|date|girl|tradit|mechan|batch|new|start|sanil|malik|4th|year|student|enim|engin|colleg|date|girl|last|2|year|hideout|embarrass|tell|fellow|batchmat|mechan|engin|bhisma|pitamah|current|gener|even|talk|girl|tradit|parampara|call|act|caught|2|dai|convoc|speak|truth|roam|girl|caught|cctv|camera|colleg|never|allow|student|mechan|batch|fall|love|girl|sanil|latest|victim|tradit|face|sanil|told|spend|on|full|year|colleg|live|singl|life|without|relationship|part|punish,POLITICS
woman|shift|delhi|mumbai|gain|5kg|5|dai|run|due|ev|teas,mumbai|compar|mumbai|kolkata|citizen|sharpli|react|incid|molest|ev|teas|reaction|total|lack|miss|part|citizen|delhi|vital|role|plai|prevent|harass|women|travel|citi|live|exampl|come|notic|yesterdai|woman|shift|delhi|mumbai|dai|back|due|work|commit|found|gain|5|kg|5|dai|without|even|chang|dietari|habit|weather|condit|priyanka|ranaut|work|mnc|shift|mumbai|5|dai|back|5|dai|never|ran|awai|due|ev|teaser|harass|quit|common|delhi|scenario|creat|havoc|person|life|gain|5|kg|5|dai|stop|situat|continu|might|gain|lot|weight|fatal|health|mani|gym|across|citi|sent|brochur|lose|weight|30|dai|challeng|cashback|offer|maharashtra|govern|us|new|boast|good|law|order|situat|mumbai|promis|deal|issu|priyanka|face|govern|subsid|gym|expenditur|everi|month|women,SOCIETY
colleg|withhold|mechan|engin|degre|relationship|girl,mumbai|10|reason|fall|love|mechan|engin|know|smart|girl|prefer|date|mechan|engin|mechan|engin|best|peopl|date|good|sens|logic|better|salari|better|commun|extra|technic|knowledg|almost|everyth|make|mechan|engin|perfect|gui|date|enough|joke|let|come|straight|new|colleg|mumbai|actual|withold|amechan|engin|degre|date|girl|tradit|mechan|batch|new|start|sanil|malik|4th|year|student|enim|engin|colleg|date|girl|last|2|year|hideout|embarrass|tell|fellow|batchmat|mechan|engin|bhisma|pitamah|current|gener|even|talk|girl|tradit|parampara|call|act|caught|2|dai|convoc|speak|truth|roam|girl|caught|cctv|camera|colleg|never|allow|student|mechan|batch|fall|love|girl|sanil|latest|victim|tradit|face|sanil|told|spend|on|full|year|colleg|live|singl|life|without|relationship|part|punish,SOCIETY
month|gymm|man|becom|expert|recommend|best|protein|supplement,aim|flaunt|six|pack|facebook|thing|seem|turn|differ|delhi|resid|ashish|kaul|month|regularli|hitt|gym|ashish|becom|expert|recommend|protein|supplment|anyone|wish|listen|start|trainer|give|crash|cours|supplement|everi|gym|newbi|awar|ashish|still|fondli|rememb|first|dai|diamond|muscl|gym|think|touch|equip|dai|1|protein|shake|bcaa|creatin|glutamin|etc|thing|differ|rest|dai|said|speak|report|hour|gym|session|would|start|15|minut|take|selfi|stand|next|equip|rest|time|devot|theori|supplement|add|gym|buddi|prais|ashish|knowledg|famili|member|howev|happi|dinner|convers|revolv|around|egg|white|low|grade|protein|replac|whei|goldmin|supplement|info|amidst|gym|administr|plann|hire|resid|nutrit|expert|ashish|differ|plan|book|contract|gym|supplement|off|tip|iceberg|current|talk|web|seri|netflix|probabl|nawazuddin|siddiqui|radhika|apt|lead|role|admitt|candidli,SOCIETY
marriag|function|navi|mumbai|coupl|held|mumbai|cannot|label|destin|wedd|suprem|court,mumbai|mumbai|citi|dream|peopl|come|far|place|make|dream|realiti|peopl|also|come|navi|mumbai|virar|work|craze|mumbai|among|peopl|navi|mumbai|high|coupl|hold|marriag|function|mumbai|call|destin|wedd|trend|mani|last|year|harneet|singh|resid|navi|mumbai|recent|got|marri|longtim|girlfriend|print|invit|card|destin|wedd|written|made|friend|excit|marriag|friend|shopp|cloth|learn|danc|mani|spent|lot|monei|look|cool|destin|wedd|everyon|left|shock|harneet|announc|2|dai|wedd|destin|wedd|mumbai|dream|shatter|sad|face|seen|among|harneet|friend|on|friend|sanil|jain|file|pil|harneet|show|dream|destin|wedd|call|crowd|citi|mumbai|court|heard|argument|made|final|decis|todai|suprem|court|judg|mention|judgment|invit|consid|crime|next|time|strict|punish|given|offend,SOCIETY
coupl|get|remarri|photograph|lose|memori|card|wedd|pictur,mumbai|simplist|explan|marriag|mania|media|infiltr|girl|rememb|watch|commerci|featur|smile|bride|smitten|new|groom|youth|read|stori|watch|movi|quest|find|perfect|person|make|marriag|import|marriag|photo|video|share|import|current|societi|social|media|platform|made|marriag|shareworthi|event|rather|privat|famili|function|weird|incid|mumbai|coupl|remarri|photograph|lost|memori|card|contain|wedd|pictur|sanil|malik|plann|wedd|long|even|plann|photo|shoot|wedd|amount|spent|photograph|50|total|wedd|budget|wife|also|thought|hashtag|us|share|pic|facebook|plann|left|shatter|dai|wedd|photograph|lost|memori|card|function|cover|sanil|wife|unhappi|peopl|thought|emot|gett|marri|deep|within|upset|pic|share|photograph|though|gave|idea|remarri|told|would|give|discount|50|marriag|though|idea|seem|practic|enough|sanil|social|media|savvi|wife|readili|agre|marriag|function|held|yesterdai,SOCIETY
new|type|sea|view|flat|launch|mumbai|builder|provid|cab|see|marin|drive|come|back,mumbai|econom|survei|rais|concern|vacant|hous|inventori|especi|metro|mumbai|delhi|bengaluru|survei|point|despit|hous|shortag|inventori|overhang|mumbai|top|list|0|48|million|vacant|hous|peopl|cautiou|bui|new|properti|confus|rais|gst|real|estat|paramet|shwetank|srivastava|expert|real|estat|player|launch|new|scheme|flat|mumbai|provid|sea|view|flat|resid|twist|flat|sea|view|on|actual|builder|provid|cab|daili|basi|free|cost|travel|marin|drive|watch|sea|come|back|find|sea|view|flat|space|crunch|mumbai|difficult|shwetank|come|someth|innov|technic|servic|provid|would|count|sea|view|flat|categori|even|bmc|happi|initi|taken|shwetank|due|servic|provid|peopl|will|bui|properti|far|locat|visit|mumbai|look|sea|would|lessen|burden|residenti|properti|heart|mumbai|also|provid|econom|opportun|cab|servic|provid|flat|obvious|premium|price|gett|sea|view|daili|mumbai|come|cost|involv|builder|start|follow|shwetank|exampl|shwetank|still|get|first|mover|advantag|start|advanc|book|new|rang|hous|properti,SOCIETY
candid|wait|2|hr|schedul|interview|get|immedi|hire|sit|bench|compani,bengaluru|joke|indian|softwar|compani|us|without|name|board|outsid|would|hard|press|distinguish|on|insid|style|recruit|make|case|even|stronger|hire|lot|peopl|us|show|bench|strength|lucki|on|get|project|project|rest|await|chanc|get|hire|bench|also|requir|lot|skill|shown|shwetank|srivastava|lucknow|shwetank|got|hire|softwar|compani|patienc|show|wait|interview|shwetank|long|wait|chanc|get|interview|india|largest|compani|tt|prepar|well|interview|visit|forum|give|tip|clear|interview|process|also|take|suggest|senior|none|prepar|came|us|dai|interview|shwetank|reach|tt|offic|schedul|time|interview|wait|quit|time|interview|yet|arriv|made|shwetank|bit|nervou|stuck|lifetim|opportun|minut|wait|soon|gett|convert|hour|time|interview|arriv|shwetank|spent|almost|3|hr|wait|normal|interview|postpon|long|happen|interview|get|reschedul|time|tt|patienc|kei|skill|requir|ttser|interview|saw|shwetank|load|load|patienc|peopl|get|impati|sitt|bench|weird|stuff|tt|hr|team|soon|realiz|shwetank|opposit|person|wait|3|hr|get|hire|bench|inde|deserv|bench|much|anyone|els|made|shwetank|dream|work|tt|come|true|plai|natur|game,SOCIETY
tinder|server|crash|record|sign|in|suprem|court|make|adulteri|non|crimin|offenc,new|delhi|adulteri|longer|crime|india|even|though|without|shadow|doubt|ground|divorc|suprem|court|said|todai|scrapp|158|year|law|punish|man|affair|woman|treat|properti|suprem|court|judgment|welcom|marri|indian|even|non|marri|peopl|join|celebr|know|marri|futur|ravi|shastri|karan|johar|emran|hashmi|first|on|come|support|verdict|host|grand|parti|celebr|decis|main|new|relat|verdict|tinder|server|india|crash|million|peopl|logg|togeth|find|new|friend|even|mechan|civil|engin|marri|girlfriend|also|start|sign|in|tinder|ceo|come|defens|softwar|sai|softwar|meant|fulfil|particular|capac|verdict|instal|2|server|number|high|server|crash|try|resolv|issu|till|appeal|peopl|patienc|govern|also|order|date|site|instal|power|server|give|custom|want|2019|elect|result|mai|also|decid|whether|date|site|work|properli|impact|todai|verdict|well|marri|men|even|singl|men|wait|time|hope|tinder|issu|resolv|soon|till|thank|suprem|court|make|life|easi,SOCIETY
